epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.782,1.82526,3.38406,1.56184,0.53564,0.46259,0.48552,0.24167,1.71652,1.87423,1.49214,0.000256083,0.000256083,0.000256083
2,527.453,1.71956,1.88257,1.4799,0.56826,0.52672,0.51562,0.26214,1.71626,1.68806,1.50834,0.000461688,0.000461688,0.000461688
3,735.117,1.68322,1.67809,1.45031,0.65036,0.6027,0.63012,0.31504,1.70138,1.4497,1.42159,0.000616538,0.000616538,0.000616538
4,935.832,1.62547,1.5336,1.40602,0.62609,0.63147,0.63343,0.33975,1.61422,1.41843,1.38492,0.000540607,0.000540607,0.000540607
5,1138.99,1.58413,1.40079,1.37605,0.68497,0.63458,0.67696,0.35914,1.62099,1.32497,1.37621,0.000464476,0.000464476,0.000464476
6,1343.02,1.53156,1.30337,1.33265,0.71841,0.67192,0.72241,0.40097,1.5442,1.21101,1.32859,0.000388345,0.000388345,0.000388345
7,1547.08,1.48937,1.20824,1.30977,0.72946,0.71495,0.75634,0.42265,1.50145,1.11844,1.30064,0.000312214,0.000312214,0.000312214
8,1747.25,1.45531,1.1252,1.29186,0.74584,0.7172,0.76309,0.43337,1.47724,1.08961,1.28213,0.000236083,0.000236083,0.000236083
9,1947.24,1.42074,1.05043,1.26172,0.77438,0.73935,0.79681,0.46406,1.46046,1.0233,1.27523,0.000159952,0.000159952,0.000159952
10,2148.12,1.38953,0.98195,1.23911,0.78521,0.741,0.80331,0.47335,1.44397,0.9823,1.25561,8.3821e-05,8.3821e-05,8.3821e-05
