epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.484,1.74747,3.88243,1.53682,0.26102,0.32605,0.19418,0.10111,0.92015,34.8609,0.79928,0.000256057,0.000256057,0.000256057
2,711.297,1.69188,2.39234,1.50898,0.30761,0.34649,0.2197,0.08934,0.97679,40.6652,0.83416,0.000487027,0.000487027,0.000487027
3,1058.32,1.68388,2.27769,1.5076,0.35897,0.44001,0.31651,0.16894,0.8744,20.0831,0.78331,0.00069262,0.00069262,0.00069262
4,1403.32,1.64541,2.15612,1.48107,0.325,0.53287,0.36115,0.19625,0.84131,44.3941,0.76011,0.000654804,0.000654804,0.000654804
5,1749.65,1.58362,2.00531,1.4405,0.39579,0.52915,0.43076,0.22675,0.86001,48.5045,0.7686,0.000616738,0.000616738,0.000616738
6,2094.11,1.56369,1.89249,1.42275,0.5525,0.53639,0.52397,0.28509,0.83506,6.46687,0.73669,0.000578672,0.000578672,0.000578672
7,2439.81,1.53372,1.72855,1.39242,0.50662,0.56948,0.54597,0.3038,0.78737,66.2251,0.71708,0.000540607,0.000540607,0.000540607
8,2783.59,1.50658,1.65029,1.37632,0.4898,0.61118,0.54858,0.30651,0.78557,59.635,0.71057,0.000502541,0.000502541,0.000502541
9,3127.49,1.48226,1.56363,1.36299,0.6582,0.67046,0.68921,0.37257,0.80431,8.13904,0.71338,0.000464476,0.000464476,0.000464476
10,3472.69,1.46017,1.51466,1.3553,0.65814,0.63733,0.68935,0.37299,0.80494,8.09132,0.71651,0.000426411,0.000426411,0.000426411
11,3809.81,1.4958,1.40471,1.38442,0.72296,0.66676,0.72226,0.40157,0.7792,6.20089,0.69666,0.000388345,0.000388345,0.000388345
12,4144.01,1.46962,1.32162,1.37184,0.70448,0.70717,0.73459,0.40666,0.78282,6.88048,0.70481,0.00035028,0.00035028,0.00035028
13,4475.99,1.45409,1.27012,1.36691,0.73588,0.71345,0.76014,0.42867,0.76526,6.77753,0.68847,0.000312214,0.000312214,0.000312214
14,4810.74,1.43615,1.19739,1.35139,0.72597,0.72798,0.76728,0.44711,0.74742,6.10712,0.67887,0.000274148,0.000274148,0.000274148
15,5143.78,1.41858,1.13857,1.33781,0.74617,0.72236,0.7738,0.43921,0.76599,3.34264,0.68523,0.000236083,0.000236083,0.000236083
16,5476,1.39817,1.10552,1.32595,0.75535,0.72514,0.77525,0.44885,0.75061,2.73404,0.67383,0.000198018,0.000198018,0.000198018
17,5807.87,1.37517,1.04597,1.30031,0.7582,0.73654,0.78878,0.4634,0.73937,3.01945,0.66995,0.000159952,0.000159952,0.000159952
18,6140.94,1.35478,1.02075,1.28867,0.75995,0.7579,0.80083,0.46678,0.74624,2.48394,0.66785,0.000121887,0.000121887,0.000121887
19,6473.32,1.33794,0.96774,1.27277,0.77243,0.76524,0.80502,0.47155,0.74483,2.86073,0.66766,8.3821e-05,8.3821e-05,8.3821e-05
20,6804.89,1.31578,0.93381,1.26365,0.78962,0.75284,0.81238,0.4834,0.73407,2.81284,0.66217,4.57555e-05,4.57555e-05,4.57555e-05
